Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee,Country_from,Country_to
Fernandinho,Defensive Midfield,28,Shakhtar D.,Premier Liga,Man City,Premier League,2013-2014,32000000.0,40000000,Ukraine,England
Mikkel Bischoff,Centre-Back,20,Akademisk BK, Denmark,Man City,Premier League,2002-2003,,950000,Denmark,England
Gelson Fernandes,Defensive Midfield,20,FC Sion,Super League,Man City,Premier League,2007-2008,1000000.0,5500000,Switzerland,England
Kyle Walker,Right-Back,27,Spurs,Premier League,Man City,Premier League,2017-2018,30000000.0,52700000,England,England
Ilkay Gündogan,Central Midfield,25,Bor. Dortmund,1.Bundesliga,Man City,Premier League,2016-2017,30000000.0,27000000,Germany,England
Pablo Zabaleta,Right-Back,23,Espanyol,LaLiga,Man City,Premier League,2008-2009,8000000.0,8700000,Spain,England
Nicolas Anelka,Centre-Forward,23,Paris SG,Ligue 1,Man City,Premier League,2002-2003,,15000000,France,England
Sylvain Distin,Centre-Back,24,Paris SG,Ligue 1,Man City,Premier League,2002-2003,,6000000,France,England
Matías Vuoso,Centre-Forward,20,Independiente, Argentina,Man City,Premier League,2002-2003,,7500000,Argentina,England
Edin Dzeko,Centre-Forward,24,VfL Wolfsburg,1.Bundesliga,Man City,Premier League,2010-2011,30000000.0,37000000,Germany,England
Kevin De Bruyne,Attacking Midfield,24,VfL Wolfsburg,1.Bundesliga,Man City,Premier League,2015-2016,45000000.0,76000000,Germany,England
Roque Santa Cruz,Centre-Forward,27,Blackburn,Premier League,Man City,Premier League,2009-2010,10000000.0,21200000,England,England
Martin Petrov,Left Winger,28,Atlético Madrid,LaLiga,Man City,Premier League,2007-2008,10000000.0,7000000,Spain,England
Sergio Agüero,Centre-Forward,23,Atlético Madrid,LaLiga,Man City,Premier League,2011-2012,36000000.0,40000000,Spain,England
Martín Demichelis,Centre-Back,32,Atlético Madrid,LaLiga,Man City,Premier League,2013-2014,3000000.0,5000000,Spain,England
Georgios Samaras,Left Winger,20,Heerenveen,Eredivisie,Man City,Premier League,2005-2006,3000000.0,8500000,Nederlands,England
Álvaro Negredo,Centre-Forward,27,Sevilla FC,LaLiga,Man City,Premier League,2013-2014,20000000.0,25000000,Spain,England
Jesús Navas,Right Winger,27,Sevilla FC,LaLiga,Man City,Premier League,2013-2014,20000000.0,20000000,Spain,England
Trevor Sinclair,Left Winger,30,West Ham,First Division,Man City,Premier League,2003-2004,,3750000,England,England
David James,Goalkeeper,33,West Ham,First Division,Man City,Premier League,2003-2004,,2800000,England,England
Claudio Reyna,Central Midfield,29,Sunderland,First Division,Man City,Premier League,2003-2004,,3750000,England,England
Felipe Caicedo,Centre-Forward,19,FC Basel,Super League,Man City,Premier League,2007-2008,5000000.0,7000000,Switzerland,England
Eyal Berkovic,Attacking Midfield,31,Celtic,Premiership,Man City,Premier League,2003-2004,,2300000,Scotland,England
Jô,Centre-Forward,21,CSKA Moscow,Premier Liga,Man City,Premier League,2008-2009,16000000.0,24000000,Russia,England
Benjani,Centre-Forward,29,Portsmouth,Premier League,Man City,Premier League,2007-2008,5000000.0,5200000,England,England
Gabriel Jesus,Centre-Forward,19,Palmeiras,Série A,Man City,Premier League,2016-2017,16000000.0,32000000,Brazil,England
Ben Thatcher,Left-Back,28,Leicester,Championship,Man City,Premier League,2004-2005,,1500000,England,England
Aymeric Laporte,Centre-Back,23,Athletic Bilbao,LaLiga,Man City,Premier League,2017-2018,25000000.0,65000000,Spain,England
Stefan Savic,Centre-Back,20,Partizan,SuperLiga,Man City,Premier League,2011-2012,6000000.0,12000000,Serbia,England
Vedran Corluka,Centre-Back,21,Dinamo Zagreb,1.HNL,Man City,Premier League,2007-2008,4100000.0,13000000,Croatia,England
Adam Johnson,Right Winger,22,Middlesbrough,Championship,Man City,Premier League,2009-2010,4500000.0,8000000,England,England
Douglas Luiz,Central Midfield,19,Vasco da Gama,Série A,Man City,Premier League,2017-2018,,12000000,Brazil,England
Scott Sinclair,Left Midfield,23,Swansea,Premier League,Man City,Premier League,2012-2013,8000000.0,7800000,England,England
Wilfried Bony,Centre-Forward,26,Swansea,Premier League,Man City,Premier League,2014-2015,17000000.0,32300000,England,England
Patrick Roberts,Right Winger,18,Fulham,Championship,Man City,Premier League,2015-2016,2500000.0,7200000,England,England
Dmytro Chygrynskiy,Centre-Back,23,FC Barcelona,LaLiga,Shakhtar D.,Premier Liga,2010-2011,8000000.0,15000000,Spain,Ukraine
Eduardo,Centre-Forward,27,Arsenal,Premier League,Shakhtar D.,Premier Liga,2010-2011,10500000.0,7200000,England,Ukraine
Zvonimir Vukic,Attacking Midfield,23,Partizan, Serbia,Shakhtar D.,Premier Liga,2003-2004,,4700000,Serbia,Ukraine
Igor Duljaj,Defensive Midfield,24,Partizan, Serbia,Shakhtar D.,Premier Liga,2003-2004,,4000000,Serbia,Ukraine
Nery Castillo,Right Winger,23,Olympiacos,Super League,Shakhtar D.,Premier Liga,2007-2008,3000000.0,15000000,Greece,Ukraine
Batista,Defensive Midfield,29,Galatasaray,Süper Lig,Shakhtar D.,Premier Liga,2004-2005,,3000000,Turkey,Ukraine
Ciprian Marica,Centre-Forward,18,Dinamo Bukarest, Romania,Shakhtar D.,Premier Liga,2003-2004,,5000000,Romania,Ukraine
Darijo Srna,Right-Back,21,Hajduk Split, Croatia,Shakhtar D.,Premier Liga,2003-2004,,1200000,Croatia,Ukraine
Matuzalém,Defensive Midfield,24,Brescia,Serie A,Shakhtar D.,Premier Liga,2004-2005,,14000000,Italy,Ukraine
Tolga Seyhan,Centre-Back,28,Trabzonspor,Süper Lig,Shakhtar D.,Premier Liga,2005-2006,3500000.0,3750000,Turkey,Ukraine
Brandão,Centre-Forward,22,Iraty SC, Brazil,Shakhtar D.,Premier Liga,2002-2003,,1000000,Brazil,Ukraine
Tomas Hübschman,Defensive Midfield,22,Sparta Praha,HET Liga,Shakhtar D.,Premier Liga,2004-2005,,3000000,Czech Republic,Ukraine
Jan Lastuvka,Goalkeeper,20,Banik Ostrava,HET Liga,Shakhtar D.,Premier Liga,2003-2004,,2500000,Czech Republic,Ukraine
Razvan Rat,Left-Back,22,Rapid Bucharest, Romania,Shakhtar D.,Premier Liga,2003-2004,,1000000,Romania,Ukraine
Elano,Attacking Midfield,23,Santos FC,Série A,Shakhtar D.,Premier Liga,2004-2005,,7600000,Brazil,Ukraine
Alan Patrick,Central Midfield,20,Santos FC,Série A,Shakhtar D.,Premier Liga,2011-2012,1500000.0,4000000,Brazil,Ukraine
Cristiano Lucarelli,Centre-Forward,31,AS Livorno,Serie A,Shakhtar D.,Premier Liga,2007-2008,11500000.0,7910000,Italy,Ukraine
Ilsinho,Right Midfield,21,São Paulo,Série A,Shakhtar D.,Premier Liga,2007-2008,,10000000,Brazil,Ukraine
Jádson,Attacking Midfield,21,Atlético-PR,Série A,Shakhtar D.,Premier Liga,2004-2005,,5000000,Brazil,Ukraine
Fernandinho,Defensive Midfield,20,Atlético-PR,Série A,Shakhtar D.,Premier Liga,2005-2006,500000.0,7800000,Brazil,Ukraine
Ismaily,Left-Back,23,Braga,Liga NOS,Shakhtar D.,Premier Liga,2012-2013,1300000.0,4000000,Portugal,Ukraine
Henrikh Mkhitaryan,Attacking Midfield,21,Metalurh D.,Premier Liga,Shakhtar D.,Premier Liga,2010-2011,4000000.0,5850000,Ukraine,Ukraine
Oleksandr Volovyk,Centre-Back,27,Metalurh D.,Premier Liga,Shakhtar D.,Premier Liga,2013-2014,1500000.0,4000000,Ukraine,Ukraine
Marcelo Moreno,Centre-Forward,21,Cruzeiro,Série A,Shakhtar D.,Premier Liga,2008-2009,6000000.0,9000000,Brazil,Ukraine
Pedro Benítez,Centre-Back,23,Cerro Porteño, Paraguay,Shakhtar D.,Premier Liga,2004-2005,,1700000,Paraguay,Ukraine
Fernando,Left Winger,19,Palmeiras,Série A,Shakhtar D.,Premier Liga,2018-2019,,5500000,Brazil,Ukraine
Willian,Right Winger,19,Corinthians,Série A,Shakhtar D.,Premier Liga,2007-2008,11000000.0,14000000,Brazil,Ukraine
Dentinho,Attacking Midfield,22,Corinthians,Série A,Shakhtar D.,Premier Liga,2011-2012,3000000.0,7500000,Brazil,Ukraine
Maycon,Central Midfield,20,Corinthians,Série A,Shakhtar D.,Premier Liga,2018-2019,5000000.0,6600000,Brazil,Ukraine
Facundo Ferreyra,Centre-Forward,22,Vélez Sarsfield,Torneo Final,Shakhtar D.,Premier Liga,2013-2014,6000000.0,7000000,Argentina,Ukraine
Wellington Nem,Attacking Midfield,21,Fluminense,Série A,Shakhtar D.,Premier Liga,2013-2014,8000000.0,9000000,Brazil,Ukraine
Luiz Adriano,Centre-Forward,19,Internacional,Série A,Shakhtar D.,Premier Liga,2006-2007,,3000000,Brazil,Ukraine
Fred,Central Midfield,20,Internacional,Série A,Shakhtar D.,Premier Liga,2013-2014,5000000.0,15000000,Brazil,Ukraine
Douglas Costa,Right Winger,19,Grêmio,Série A,Shakhtar D.,Premier Liga,2009-2010,4000000.0,8000000,Brazil,Ukraine
Fernando,Defensive Midfield,21,Grêmio,Série A,Shakhtar D.,Premier Liga,2013-2014,10000000.0,11000000,Brazil,Ukraine
Alex Teixeira,Attacking Midfield,20,Vasco da Gama,Série A,Shakhtar D.,Premier Liga,2009-2010,3500000.0,6000000,Brazil,Ukraine
Bernard,Left Winger,20,Atlético-MG,Série A,Shakhtar D.,Premier Liga,2013-2014,10000000.0,25000000,Brazil,Ukraine
Taison,Left Winger,25,Metalist,Premier Liga,Shakhtar D.,Premier Liga,2012-2013,12000000.0,15240000,Ukraine,Ukraine
Marko Devic,Centre-Forward,28,Metalist,Premier Liga,Shakhtar D.,Premier Liga,2012-2013,7000000.0,5000000,Ukraine,Ukraine
Marlos,Right Winger,26,Metalist,Premier Liga,Shakhtar D.,Premier Liga,2014-2015,7000000.0,8000000,Ukraine,Ukraine
Jeffren,Right Winger,23,FC Barcelona,LaLiga,Sporting CP,Liga NOS,2011-2012,5000000.0,3750000,Spain,Portugal
Rodrigo Tello,Left Midfield,21,U. de Chile, Chile,Sporting CP,Liga NOS,2000-2001,,7000000,Chile,Portugal
Raphinha,Left Winger,21,Vit. Guimarães,Liga NOS,Sporting CP,Liga NOS,2018-2019,6500000.0,6500000,Portugal,Portugal
Marat Izmailov,Central Midfield,25,Loko Moscow,Premier Liga,Sporting CP,Liga NOS,2008-2009,3500000.0,4500000,Russia,Portugal
Ricky van Wolfswinkel,Centre-Forward,22,FC Utrecht,Eredivisie,Sporting CP,Liga NOS,2011-2012,6000000.0,5080000,Nederlands,Portugal
Liedson,Centre-Forward,25,Corinthians, Brazil,Sporting CP,Liga NOS,2003-2004,,3200000,Brazil,Portugal
Bas Dost,Centre-Forward,27,VfL Wolfsburg,1.Bundesliga,Sporting CP,Liga NOS,2016-2017,7500000.0,11850000,Germany,Portugal
Florent Sinama-Pongolle,Second Striker,25,Atlético Madrid,LaLiga,Sporting CP,Liga NOS,2009-2010,7000000.0,6500000,Spain,Portugal
Elias,Central Midfield,26,Atlético Madrid,LaLiga,Sporting CP,Liga NOS,2011-2012,7000000.0,8850000,Spain,Portugal
Marcos Rojo,Centre-Back,22,Spartak Moscow,Premier Liga,Sporting CP,Liga NOS,2012-2013,2000000.0,4000000,Russia,Portugal
Danny,Attacking Midfield,18,Marítimo,Liga NOS,Sporting CP,Liga NOS,2002-2003,,2000000,Portugal,Portugal
Diego Capel,Left Winger,23,Sevilla FC,LaLiga,Sporting CP,Liga NOS,2011-2012,8000000.0,3500000,Spain,Portugal
Jaime Valdés,Central Midfield,29,Atalanta,Serie B,Sporting CP,Liga NOS,2010-2011,4000000.0,3300000,Italy,Portugal
Elpídio Silva,Centre-Forward,27,Boavista,Liga NOS,Sporting CP,Liga NOS,2003-2004,,1200000,Portugal,Portugal
Deivid,Centre-Forward,25,Santos FC,Série A,Sporting CP,Liga NOS,2005-2006,3500000.0,3500000,Brazil,Portugal
Matías Fernández,Attacking Midfield,23,Villarreal CF,LaLiga,Sporting CP,Liga NOS,2009-2010,7000000.0,3640000,Spain,Portugal
João Alves,Central Midfield,24,Braga,Liga NOS,Sporting CP,Liga NOS,2005-2006,3000000.0,2000000,Portugal,Portugal
Marco Torsiglieri,Centre-Back,22,Vélez Sarsfield,Torneo Final,Sporting CP,Liga NOS,2010-2011,700000.0,3400000,Argentina,Portugal
Wendel,Central Midfield,20,Fluminense,Série A,Sporting CP,Liga NOS,2017-2018,7500000.0,7500000,Brazil,Portugal
Valentín Viola,Left Winger,20,Racing Club,Torneo Final,Sporting CP,Liga NOS,2012-2013,1400000.0,4000000,Argentina,Portugal
Bruno Fernandes,Attacking Midfield,22,Sampdoria,Serie A,Sporting CP,Liga NOS,2017-2018,7500000.0,9690000,Italy,Portugal
Marcos Acuña,Left Midfield,25,Racing Club,Primera División,Sporting CP,Liga NOS,2017-2018,7000000.0,9590000,Argentina,Portugal
Alexis Sánchez,Left Winger,25,FC Barcelona,LaLiga,Arsenal,Premier League,2014-2015,30000000.0,42500000,Spain,England
Mesut Özil,Attacking Midfield,24,Real Madrid,LaLiga,Arsenal,Premier League,2013-2014,40000000.0,47000000,Spain,England
Lucas Pérez,Centre-Forward,27,Dep. La Coruña,LaLiga,Arsenal,Premier League,2016-2017,12000000.0,14000000,Spain,England
Emmanuel Adebayor,Centre-Forward,21,Monaco,Ligue 1,Arsenal,Premier League,2005-2006,7500000.0,10000000,France,England
Shkodran Mustafi,Centre-Back,24,Valencia CF,LaLiga,Arsenal,Premier League,2016-2017,20000000.0,41000000,Spain,England
Bernd Leno,Goalkeeper,26,Bay. Leverkusen,1.Bundesliga,Arsenal,Premier League,2018-2019,20000000.0,25000000,Germany,England
Petr Cech,Goalkeeper,33,Chelsea,Premier League,Arsenal,Premier League,2015-2016,12000000.0,14000000,England,England
Laurén,Right-Back,23,RCD Mallorca,LaLiga,Arsenal,Premier League,2000-2001,,10700000,Spain,England
Sylvain Wiltord,Second Striker,26,G. Bordeaux,Ligue 1,Arsenal,Premier League,2000-2001,,17500000,France,England
Francis Jeffers,Centre-Forward,20,Everton,Premier League,Arsenal,Premier League,2000-2001,,15300000,England,England
Mikel Arteta,Central Midfield,29,Everton,Premier League,Arsenal,Premier League,2011-2012,15000000.0,12000000,England,England
Santi Cazorla,Central Midfield,27,Málaga CF,LaLiga,Arsenal,Premier League,2012-2013,20000000.0,19000000,Spain,England
Nacho Monreal,Left-Back,26,Málaga CF,LaLiga,Arsenal,Premier League,2012-2013,6000000.0,10000000,Spain,England
Thomas Vermaelen,Centre-Back,23,AFC Ajax,Eredivisie,Arsenal,Premier League,2009-2010,6000000.0,12000000,Nederlands,England
Robert Pirès,Left Midfield,26,Marseille,Ligue 1,Arsenal,Premier League,2000-2001,,9800000,France,England
Samir Nasri,Left Winger,21,Marseille,Ligue 1,Arsenal,Premier League,2008-2009,15000000.0,16000000,France,England
André Santos,Attacking Midfield,28,Fenerbahce,Süper Lig,Arsenal,Premier League,2011-2012,8500000.0,7000000,Turkey,England
Robin van Persie,Centre-Forward,20,Feyenoord,Eredivisie,Arsenal,Premier League,2004-2005,,4500000,Nederlands,England
Mathieu Debuchy,Right-Back,28,Newcastle,Premier League,Arsenal,Premier League,2014-2015,10000000.0,15000000,England,England
Abou Diaby,Central Midfield,19,AJ Auxerre,Ligue 1,Arsenal,Premier League,2005-2006,3000000.0,3000000,France,England
Bacary Sagna,Right-Back,24,AJ Auxerre,Ligue 1,Arsenal,Premier League,2007-2008,6000000.0,9000000,France,England
Richard Wright,Goalkeeper,23,Ipswich,Premier League,Arsenal,Premier League,2001-2002,,9000000,England,England
Giovanni van Bronckhorst,Left-Back,26,Rangers, Scotland,Arsenal,Premier League,2001-2002,,13500000,Scotland,England
Danny Welbeck,Centre-Forward,23,Man Utd,Premier League,Arsenal,Premier League,2014-2015,17000000.0,20000000,England,England
Andrey Arshavin,Second Striker,27,Zenit S-Pb,Premier Liga,Arsenal,Premier League,2008-2009,24000000.0,16500000,Russia,England
Jens Lehmann,Goalkeeper,33,Bor. Dortmund,1.Bundesliga,Arsenal,Premier League,2003-2004,,3500000,Germany,England
Tomás Rosicky,Attacking Midfield,25,Bor. Dortmund,1.Bundesliga,Arsenal,Premier League,2006-2007,11000000.0,10000000,Germany,England
Pierre-Emerick Aubameyang,Centre-Forward,28,Bor. Dortmund,1.Bundesliga,Arsenal,Premier League,2017-2018,65000000.0,63750000,Germany,England
Sokratis,Centre-Back,30,Bor. Dortmund,1.Bundesliga,Arsenal,Premier League,2018-2019,20000000.0,16000000,Germany,England
Alexandre Lacazette,Centre-Forward,26,Olympique Lyon,Ligue 1,Arsenal,Premier League,2017-2018,40000000.0,53000000,France,England
Calum Chambers,Centre-Back,19,Southampton,Premier League,Arsenal,Premier League,2014-2015,2000000.0,20230000,England,England
Edú Gaspar,Central Midfield,23,Corinthians, Brazil,Arsenal,Premier League,2001-2002,,8750000,Brazil,England
Per Mertesacker,Centre-Back,26,Werder Bremen,1.Bundesliga,Arsenal,Premier League,2011-2012,10000000.0,11300000,Germany,England
Gilberto Silva,Defensive Midfield,25,Atlético-MG, Brazil,Arsenal,Premier League,2002-2003,,6900000,Brazil,England
Olivier Giroud,Centre-Forward,25,Montpellier,Ligue 1,Arsenal,Premier League,2012-2013,13000000.0,12000000,France,England
Laurent Koscielny,Centre-Back,24,FC Lorient,Ligue 1,Arsenal,Premier League,2010-2011,5000000.0,12500000,France,England
Mattéo Guendouzi,Central Midfield,19,FC Lorient,Ligue 2,Arsenal,Premier League,2018-2019,2500000.0,8000000,France,England
Pascal Cygan,Centre-Back,28,LOSC Lille,Ligue 1,Arsenal,Premier League,2002-2003,,3830000,France,England
Gervinho,Left Winger,24,LOSC Lille,Ligue 1,Arsenal,Premier League,2011-2012,16000000.0,12000000,France,England
Lukas Podolski,Centre-Forward,27,1. FC Köln,2.Bundesliga,Arsenal,Premier League,2012-2013,20000000.0,15000000,Germany,England
Philippe Senderos,Centre-Back,18,Servette FC,Super League,Arsenal,Premier League,2003-2004,,3550000,Switzerland,England
José Antonio Reyes,Right Winger,20,Sevilla FC,LaLiga,Arsenal,Premier League,2003-2004,,20000000,Spain,England
Sébastien Squillaci,Centre-Back,30,Sevilla FC,LaLiga,Arsenal,Premier League,2010-2011,8000000.0,6500000,Spain,England
Cesc Fàbregas,Central Midfield,16,Barça Juvenil A, Spain,Arsenal,Premier League,2003-2004,,3200000,Spain,England
Mohamed Elneny,Defensive Midfield,23,FC Basel,Super League,Arsenal,Premier League,2015-2016,4000000.0,12500000,Switzerland,England
Emmanuel Eboué,Right-Back,21,KSK Beveren,Jupiler Pro League,Arsenal,Premier League,2004-2005,1800000.0,2200000,Belgium,England
Gabriel Paulista,Centre-Back,24,Villarreal CF,LaLiga,Arsenal,Premier League,2014-2015,8000000.0,15000000,Spain,England
Manuel Almunia,Goalkeeper,27,Celta de Vigo,LaLiga2,Arsenal,Premier League,2004-2005,,5000000,Spain,England
Denílson,Defensive Midfield,18,São Paulo,Série A,Arsenal,Premier League,2006-2007,,5000000,Brazil,England
Aaron Ramsey,Central Midfield,17,Cardiff,Championship,Arsenal,Premier League,2008-2009,5000000.0,6400000,England,England
Aleksandr Hleb,Attacking Midfield,24,VfB Stuttgart,1.Bundesliga,Arsenal,Premier League,2005-2006,8500000.0,15000000,Germany,England
Theo Walcott,Right Winger,16,Southampton,Championship,Arsenal,Premier League,2005-2006,2500000.0,10500000,England,England
Alex Oxlade-Chamberlain,Right Midfield,17,Southampton,Championship,Arsenal,Premier League,2011-2012,2500000.0,13800000,England,England
Alex Song,Defensive Midfield,17,SC Bastia,Ligue 2,Arsenal,Premier League,2005-2006,1250000.0,4000000,France,England
Carlos Vela,Right Winger,16,Chivas, Mexico,Arsenal,Premier League,2005-2006,1000000.0,3000000,Mexico,England
Eduardo,Centre-Forward,24,Dinamo Zagreb,1.HNL,Arsenal,Premier League,2007-2008,7650000.0,13500000,Croatia,England
Wellington Silva,Right Winger,18,Fluminense,Série A,Arsenal,Premier League,2010-2011,800000.0,4000000,Brazil,England
Granit Xhaka,Defensive Midfield,23,Bor. M'gladbach,1.Bundesliga,Arsenal,Premier League,2016-2017,25000000.0,45000000,Germany,England
Lucas Torreira,Defensive Midfield,22,Sampdoria,Serie A,Arsenal,Premier League,2018-2019,30000000.0,30000000,Italy,England
Lukasz Fabianski,Goalkeeper,22,Legia Warszawa,Ekstraklasa,Arsenal,Premier League,2007-2008,4350000.0,4350000,Poland,England
Ju-yeong Park,Centre-Forward,26,Monaco,Ligue 2,Arsenal,Premier League,2011-2012,7000000.0,6500000,France,England
Gerard Deulofeu,Right Winger,21,FC Barcelona,LaLiga,Everton,Premier League,2015-2016,6000000.0,6000000,Spain,England
